word,0,1,cluster
aimed,-85.00102,-14.025144,119
state,-41.613087,-59.328487,42
provide,-85.63283,-3.1027572,19
city,64.90316,0.52921134,114
teaching,-52.48759,61.856728,2
feature,-32.920128,-31.264698,48
aspect,-81.11381,19.131744,1
economic,-60.982998,31.717266,11
among,-79.7594,-43.58762,32
find,-48.452717,-48.50304,52
second,-42.625675,-70.09034,6
structure,-49.65707,12.810401,140
resource,-70.6815,0.04534116,65
better,-88.371735,-20.025064,29
efficiency,-71.70525,13.773712,57
outcome,-64.86863,46.8682,59
day,31.176987,60.407097,33
collection,-39.77465,67.944336,0
risk,-66.546104,-39.021255,152
score,-82.90526,17.959978,1
best,-82.52928,-24.0128,29
cycle,-15.869744,29.53654,107
effective,-92.991684,-5.8530655,19
training,-62.67836,41.874714,59
indonesian,37.369286,15.251569,83
category,-81.439545,16.232616,8
frequency,-12.969761,-41.5865,63
size,-13.668734,7.859934,116
regency,92.41616,-18.13651,50
response,-77.462776,24.747967,14
experiment,-15.934296,70.57182,7
disease,39.488728,-49.548462,162
significantly,-86.38686,38.54816,149
district,92.43656,-18.212593,50
collected,-39.704533,68.22933,0
increased,-90.5437,-28.430271,29
where,-49.201584,-26.068905,17
financial,-58.2963,30.432379,11
affect,-95.15421,-0.71943635,19
regression,-25.876308,80.953766,21
increasing,-90.52697,-28.65115,29
finding,-43.73525,14.7539,140
weight,-27.878271,-26.893799,48
cost,-54.941998,-40.377754,159
cause,-75.85977,-39.0797,32
standard,-67.4677,6.9610972,65
controller,-7.3884845,-58.31331,79
conclusion,-52.779915,39.02206,49
woman,-9.370384,76.34585,30
respectively,-16.52952,-6.3115854,12
distribution,-30.71202,19.677998,104
soil,54.697823,-54.830902,121
without,-48.271908,-24.35262,100
highest,-15.714139,-7.5148864,12
including,-93.90239,9.561912,8
correlation,-95.69721,3.045427,19
leaf,54.97943,-34.38282,72
online,-39.49564,-27.75857,81
decision,-59.863876,10.564325,27
instrument,-45.25459,67.40238,36
evaluation,-84.7991,17.3552,1
load,-36.899254,-48.58893,52
index,-7.247355,-70.5475,34
phase,-14.192436,-48.12149,151
bank,-58.4465,29.113846,11
policy,-53.59433,35.026463,49
testing,-16.488739,72.36774,7
family,-22.653612,61.081,88
character,-39.751427,59.114876,20
error,-61.504047,-55.91858,120
should,-79.697525,-16.512169,119
according,-62.718178,7.9686484,65
four,32.20327,12.275529,83
quantitative,-36.10376,65.92451,0
food,37.807274,-58.49035,170
signal,-34.06916,-46.845768,93
pattern,-33.812614,19.843208,104
under,-54.485,-0.14625044,109
employee,-58.99931,38.87262,59
issue,-69.94072,-30.066463,92
given,-86.92572,-1.9471184,19
made,-87.98742,24.00626,1
customer,-24.180168,26.801886,61
tool,-20.848272,-54.49389,151
culture,-28.127028,54.56613,88
produce,-20.420595,28.282837,61
period,-24.708294,18.893297,160
speed,-42.201305,-49.890057,52
oil,7.031597,43.038593,97
sensor,-4.5737157,23.827152,60
reduce,-88.40826,-28.699259,29
effectiveness,-93.29044,-6.016071,19
land,42.93635,-68.44249,44
point,-45.093994,-47.594856,52
software,-20.572306,-54.459362,151
device,-24.884178,-54.148808,151
percentage,-15.57441,-5.6247473,12
way,-81.72895,-17.062984,119
output,-17.229113,-48.972183,151
detection,-47.87943,-35.655113,159
farmer,-24.422264,31.54723,61
develop,-69.5903,35.879173,4
understanding,-52.376446,54.086945,2
university,48.945602,26.177418,166
must,-79.713875,-16.54214,119
assessment,-84.789764,18.03222,1
them,-59.72184,52.471058,85
motivation,-63.463524,47.66133,59
satisfaction,-75.18814,27.82908,14
science,-46.08836,56.184574,2
being,-52.651287,-22.880745,17
part,-49.791798,-27.605968,17
criterion,-79.81019,18.48119,57
effort,-81.769295,-17.930813,119
concluded,-82.540054,2.8569744,8
acid,26.345144,51.931644,38
age,2.6543634,72.74883,10
machine,-26.849815,-39.572784,93
industry,-27.281748,23.114088,61
those,-52.943733,-20.685436,105
help,-71.77797,38.859364,4
loss,-35.091988,-44.765965,93
considered,-60.379593,-2.5519245,80
implemented,-82.53671,25.728605,1
processing,-33.302223,-33.406147,48
component,-25.746317,-36.795383,48
physical,-31.704788,55.146435,88
theory,-38.00155,45.846138,77
interest,-76.55523,36.33854,149
researcher,-26.6577,33.80652,61
market,-26.286497,27.500011,61
security,-51.196587,-56.872303,42
classification,-33.56158,-30.272968,48
become,-71.65553,-35.623833,32
right,-66.145325,-52.017296,16
multiple,-24.008259,-40.794495,63
cell,0.1779914,9.90879,106
measurement,-86.370636,14.942641,8
literature,-34.845367,45.34707,77
designed,-65.9878,4.8054748,65
rice,46.445335,-64.90185,15
traditional,-34.617268,35.92273,46
performed,-69.881874,2.0377808,65
waste,-11.587608,3.6116188,116
motor,-34.459232,-63.448242,3
taken,-96.22017,16.209312,1
get,-85.49386,-2.1370056,19
presented,-63.71131,0.5776137,65
identify,-84.708405,10.53181,8
practice,-57.384,57.490826,2
attitude,-76.10118,32.36802,14
country,-37.088764,-69.447556,6
property,-19.273863,23.123417,160
optimal,-82.668365,-24.180698,29
english,-52.918346,58.982132,2
digital,-39.577847,-30.441956,127
location,-34.906742,-16.580046,96
religious,-47.157722,47.73158,167
optimization,-84.49453,-23.814293,29
region,45.392963,-72.61336,44
institution,-54.160076,33.46659,49
price,-48.61712,-11.74392,100
object,-52.01211,18.751394,25
same,-65.33266,-11.324513,118
